iter,615, gw,27, gd,1027
iter,616, gw,28, gd,1034
iter,617, gw,25, gd,1026
iter,618, gw,44, gd,1019
iter,619, gw,39, gd,1020
iter,620, gw,21, gd,1029
iter,621, gw,29, gd,1022
iter,622, gw,25, gd,1032
iter,623, gw,24, gd,1018
iter,624, gw,26, gd,1030
iter,625, gw,29, gd,1033
iter,626, gw,27, gd,1024
iter,627, gw,25, gd,1024
iter,628, gw,25, gd,1018
iter,629, gw,32, gd,1023
iter,630, gw,33, gd,1020
iter,631, gw,25, gd,1019
iter,632, gw,27, gd,1007
iter,633, gw,22, gd,1016
iter,634, gw,27, gd,1038
iter,635, gw,28, gd,1025
iter,636, gw,23, gd,1026
iter,637, gw,28, gd,1016
iter,638, gw,23, gd,1026
iter,639, gw,21, gd,1037
iter,640, gw,29, gd,1028
iter,641, gw,25, gd,1023
iter,642, gw,24, gd,1015
iter,643, gw,23, gd,1029
iter,644, gw,27, gd,1027
iter,645, gw,23, gd,1041
iter,646, gw,23, gd,1019
iter,647, gw,24, gd,1022
iter,648, gw,23, gd,1014
iter,649, gw,25, gd,1012
iter,650, gw,25, gd,1025
iter,651, gw,23, gd,1020
iter,652, gw,41, gd,1022
iter,653, gw,24, gd,1022
iter,654, gw,71, gd,1024
iter,655, gw,32, gd,1013
iter,656, gw,27, gd,1020
iter,657, gw,26, gd,1030
iter,658, gw,42, gd,1019
iter,659, gw,21, gd,1029
iter,660, gw,52, gd,1015
iter,661, gw,81, gd,1019
iter,662, gw,37, gd,1019
iter,663, gw,23, gd,1018
iter,664, gw,27, gd,1029
iter,665, gw,25, gd,1028
iter,666, gw,34, gd,1026
iter,667, gw,28, gd,1025
iter,668, gw,24, gd,1022
iter,669, gw,33, gd,1029
iter,670, gw,28, gd,1017
iter,671, gw,23, gd,1013
iter,672, gw,28, gd,1024
iter,673, gw,21, gd,1019
iter,674, gw,22, gd,1028
iter,675, gw,29, gd,1018
iter,676, gw,25, gd,1015
iter,677, gw,21, gd,1025
iter,678, gw,25, gd,1018
iter,679, gw,25, gd,1016
iter,680, gw,32, gd,1026
iter,681, gw,35, gd,1015
iter,682, gw,27, gd,1024
iter,683, gw,25, gd,1009
iter,684, gw,28, gd,1029
iter,685, gw,27, gd,1015
iter,686, gw,33, gd,1016
iter,687, gw,23, gd,1025
iter,688, gw,25, gd,1019
iter,689, gw,21, gd,1021
iter,690, gw,23, gd,1012
iter,691, gw,26, gd,1015
iter,692, gw,34, gd,1017
iter,693, gw,23, gd,1019
iter,694, gw,22, gd,1012
iter,695, gw,22, gd,1015
iter,696, gw,23, gd,1016
iter,697, gw,30, gd,1024
iter,698, gw,22, gd,1014
iter,699, gw,22, gd,1012
iter,700, gw,28, gd,1015
iter,701, gw,21, gd,1019
iter,702, gw,25, gd,1013
iter,703, gw,26, gd,1017
iter,704, gw,26, gd,1018
iter,705, gw,22, gd,1014
iter,706, gw,27, gd,1017
iter,707, gw,21, gd,1019
iter,708, gw,21, gd,1009
iter,709, gw,21, gd,1012
iter,710, gw,21, gd,1014
iter,711, gw,25, gd,1021
iter,712, gw,28, gd,1012
iter,713, gw,28, gd,1013
iter,714, gw,25, gd,1007
iter,715, gw,24, gd,1014
iter,716, gw,26, gd,1014
iter,717, gw,31, gd,1030
iter,718, gw,27, gd,1007
iter,719, gw,21, gd,1020
iter,720, gw,21, gd,1011
iter,721, gw,25, gd,1015
iter,722, gw,27, gd,1007
iter,723, gw,30, gd,1015
iter,724, gw,41, gd,1014
iter,725, gw,31, gd,1011
iter,726, gw,25, gd,1016
iter,727, gw,33, gd,1022
iter,728, gw,35, gd,1017
iter,729, gw,27, gd,1008
iter,730, gw,22, gd,1007
iter,731, gw,28, gd,1006
iter,732, gw,21, gd,1018
iter,733, gw,23, gd,1008
iter,734, gw,24, gd,1022
iter,735, gw,21, gd,1022
iter,736, gw,24, gd,1025
iter,737, gw,37, gd,1007
iter,738, gw,33, gd,1018
iter,739, gw,32, gd,1008
iter,740, gw,34, gd,1016
iter,741, gw,24, gd,1014
iter,742, gw,26, gd,1027
iter,743, gw,25, gd,1026
iter,744, gw,23, gd,1014
iter,745, gw,26, gd,1017
iter,746, gw,25, gd,1008
iter,747, gw,24, gd,1027
iter,748, gw,25, gd,1008
iter,749, gw,27, gd,1012
iter,750, gw,22, gd,1015
iter,751, gw,23, gd,1016
iter,752, gw,23, gd,1003
iter,753, gw,21, gd,1014
iter,754, gw,31, gd,1010
iter,755, gw,26, gd,1011
iter,756, gw,27, gd,1007
iter,757, gw,25, gd,1011
iter,758, gw,22, gd,1007
iter,759, gw,21, gd,1017
iter,760, gw,23, gd,1012
iter,761, gw,27, gd,1015
iter,762, gw,26, gd,1007
iter,763, gw,27, gd,1016
iter,764, gw,21, gd,1014
iter,765, gw,22, gd,1010
iter,766, gw,29, gd,1007
iter,767, gw,28, gd,1012
iter,768, gw,35, gd,1009
iter,769, gw,25, gd,1009
iter,770, gw,45, gd,1006
iter,771, gw,23, gd,1013
iter,772, gw,27, gd,1020
iter,773, gw,35, gd,1023
iter,774, gw,21, gd,1026
iter,775, gw,22, gd,1012
iter,776, gw,27, gd,1010
iter,777, gw,23, gd,1016
iter,778, gw,23, gd,1013
iter,779, gw,23, gd,1005
iter,780, gw,27, gd,1010
iter,781, gw,21, gd,1014
iter,782, gw,24, gd,1024
iter,783, gw,25, gd,1011
iter,784, gw,23, gd,1009
iter,785, gw,22, gd,1013
iter,786, gw,22, gd,1020
iter,787, gw,24, gd,1007
iter,788, gw,24, gd,1013
iter,789, gw,21, gd,1019
iter,790, gw,21, gd,1018
iter,791, gw,22, gd,1013
iter,792, gw,25, gd,1009
iter,793, gw,30, gd,1010
iter,794, gw,24, gd,1010
